s(1/A)      f0_exact        f0_model        f0_exact-f0_model
0.000000  1.0000000000e+00  1.0000000000e+00  0.000e+00
0.010000  9.9779264447e-01  9.9779264943e-01  -4.957e-09
0.020000  9.9121425285e-01  9.9121427018e-01  -1.733e-08
0.030000  9.8039394156e-01  9.8039397232e-01  -3.077e-08
0.040000  9.6554068782e-01  9.6554072580e-01  -3.798e-08
0.050000  9.4693449429e-01  9.4693452837e-01  -3.407e-08
0.060000  9.2491494144e-01  9.2491496033e-01  -1.889e-08
0.070000  8.9986792476e-01  8.9986792195e-01  2.809e-09
0.080000  8.7221144521e-01  8.7221142198e-01  2.323e-08
0.090000  8.4238130930e-01  8.4238127453e-01  3.478e-08
0.100000  8.1081750998e-01  8.1081747680e-01  3.318e-08
0.110000  7.7795191973e-01  7.7795190055e-01  1.918e-08
0.120000  7.4419775451e-01  7.4419775629e-01  -1.780e-09
0.130000  7.0994108449e-01  7.0994110626e-01  -2.177e-08
0.140000  6.7553449431e-01  6.7553452773e-01  -3.342e-08
0.150000  6.4129284600e-01  6.4129287870e-01  -3.270e-08
0.160000  6.0749098146e-01  6.0749100164e-01  -2.018e-08
0.170000  5.7436312022e-01  5.7436312091e-01  -6.903e-10
0.180000  5.4210366306e-01  5.4210364436e-01  1.870e-08
0.190000  5.1086909562e-01  5.1086906436e-01  3.125e-08
0.200000  4.8078069513e-01  4.8078066222e-01  3.291e-08
0.210000  4.5192776847e-01  4.5192774498e-01  2.348e-08
0.220000  4.2437118592e-01  4.2437117943e-01  6.491e-09
0.230000  3.9814701627e-01  3.9814702855e-01  -1.227e-08
0.240000  3.7327011060e-01  3.7327013736e-01  -2.675e-08
0.250000  3.4973752161e-01  3.4973755420e-01  -3.258e-08
0.260000  3.2753168047e-01  3.2753170878e-01  -2.831e-08
0.270000  3.0662328276e-01  3.0662329838e-01  -1.562e-08
0.280000  2.8697385920e-01  2.8697385780e-01  1.398e-09
0.290000  2.6853802546e-01  2.6853800781e-01  1.766e-08
0.300000  2.5126541900e-01  2.5126539041e-01  2.859e-08
0.310000  2.3510234044e-01  2.3510230904e-01  3.139e-08
0.320000  2.1999312305e-01  2.1999309739e-01  2.566e-08
0.330000  2.0588125716e-01  2.0588124389e-01  1.327e-08
0.340000  1.9271029758e-01  1.9271029986e-01  -2.273e-09
0.350000  1.8042458209e-01  1.8042459899e-01  -1.690e-08
0.360000  1.6896978739e-01  1.6896981442e-01  -2.703e-08
0.370000  1.5829334738e-01  1.5829337780e-01  -3.042e-08
0.380000  1.4834475610e-01  1.4834478267e-01  -2.657e-08
0.390000  1.3907577526e-01  1.3907579195e-01  -1.669e-08
0.400000  1.3044056393e-01  1.3044056721e-01  -3.278e-09
0.410000  1.2239574536e-01  1.2239573481e-01  1.055e-08
0.420000  1.1490042412e-01  1.1490040231e-01  2.181e-08
0.430000  1.0791616418e-01  1.0791613594e-01  2.825e-08
0.440000  1.0140693740e-01  1.0140690863e-01  2.876e-08
0.450000  9.5339049673e-02  9.5339026143e-02  2.353e-08
0.460000  8.9681051286e-02  8.9681037458e-02  1.383e-08
0.470000  8.4403636232e-02  8.4403634519e-02  1.713e-09
0.480000  7.9479534741e-02  7.9479545189e-02  -1.045e-08
0.490000  7.4883402146e-02  7.4883422585e-02  -2.044e-08
0.500000  7.0591706630e-02  7.0591733215e-02  -2.658e-08
0.510000  6.6582617811e-02  6.6582645801e-02  -2.799e-08
0.520000  6.2835897599e-02  6.2835922232e-02  -2.463e-08
0.530000  5.9332794447e-02  5.9332811731e-02  -1.728e-08
0.540000  5.6055941738e-02  5.6055949048e-02  -7.310e-09
0.550000  5.2989260832e-02  5.2989257236e-02  3.596e-09
0.560000  5.0117869113e-02  5.0117855404e-02  1.371e-08
0.570000  4.7427993167e-02  4.7427971629e-02  2.154e-08
0.580000  4.4906887178e-02  4.4906861146e-02  2.603e-08
0.590000  4.2542756456e-02  4.2542729766e-02  2.669e-08
0.600000  4.0324686008e-02  4.0324662421e-02  2.359e-08
0.610000  3.8242573978e-02  3.8242556663e-02  1.731e-08
0.620000  3.6287069748e-02  3.6287060894e-02  8.853e-09
0.630000  3.4449516496e-02  3.4449517085e-02  -5.890e-10
0.640000  3.2721897951e-02  3.2721907708e-02  -9.756e-09
0.650000  3.1096789120e-02  3.1096806627e-02  -1.751e-08
0.660000  2.9567310728e-02  2.9567333674e-02  -2.295e-08
0.670000  2.8127087140e-02  2.8127112660e-02  -2.552e-08
0.680000  2.6770207530e-02  2.6770232572e-02  -2.504e-08
0.690000  2.5491190051e-02  2.5491211748e-02  -2.170e-08
0.700000  2.4284948823e-02  2.4284964803e-02  -1.598e-08
0.710000  2.3146763498e-02  2.3146772118e-02  -8.620e-09
0.720000  2.2072251230e-02  2.2072251708e-02  -4.784e-10
0.730000  2.1057340860e-02  2.1057333309e-02  7.550e-09
0.740000  2.0098249144e-02  2.0098234505e-02  1.464e-08
0.750000  1.9191458868e-02  1.9191438760e-02  2.011e-08
0.760000  1.8333698692e-02  1.8333675217e-02  2.347e-08
0.770000  1.7521924600e-02  1.7521900102e-02  2.450e-08
0.780000  1.6753302815e-02  1.6753279645e-02  2.317e-08
0.790000  1.6025194071e-02  1.6025174363e-02  1.971e-08
0.800000  1.5335139116e-02  1.5335124605e-02  1.451e-08
0.810000  1.4680845376e-02  1.4680837262e-02  8.114e-09
0.820000  1.4060174650e-02  1.4060173526e-02  1.124e-09
0.830000  1.3471131785e-02  1.3471137617e-02  -5.832e-09
0.840000  1.2911854223e-02  1.2911866390e-02  -1.217e-08
0.850000  1.2380602377e-02  1.2380619754e-02  -1.738e-08
0.860000  1.1875750740e-02  1.1875771821e-02  -2.108e-08
0.870000  1.1395779695e-02  1.1395802732e-02  -2.304e-08
0.880000  1.0939267944e-02  1.0939291102e-02  -2.316e-08
0.890000  1.0504885531e-02  1.0504907031e-02  -2.150e-08
0.900000  1.0091387384e-02  1.0091405636e-02  -1.825e-08
0.910000  9.6976073613e-03  9.6976210740e-03  -1.371e-08
0.920000  9.3224527380e-03  9.3224609959e-03  -8.258e-09
0.930000  8.9648991157e-03  8.9649014256e-03  -2.310e-09
0.940000  8.6239857095e-03  8.6239820126e-03  3.697e-09
0.950000  8.2988109878e-03  8.2988016412e-03  9.347e-09
0.960000  7.9885286363e-03  7.9885143670e-03  1.427e-08
0.970000  7.6923438192e-03  7.6923256564e-03  1.816e-08
0.980000  7.4095097157e-03  7.4094889079e-03  2.081e-08
0.990000  7.1393243092e-03  7.1393022323e-03  2.208e-08
1.000000  6.8811274104e-03  6.8811054740e-03  2.194e-08
1.010000  6.6342978944e-03  6.6342774523e-03  2.044e-08
1.020000  6.3982511382e-03  6.3982334082e-03  1.773e-08
1.030000  6.1724366394e-03  6.1724226368e-03  1.400e-08
1.040000  5.9563358059e-03  5.9563262933e-03  9.513e-09
